Codepoint,Hanzi,pinyin,Frequency,Tweets,Traditional Variant,Simplified Variant,Definition
U+70AF,炯,jiǒng,2,1,,,"bright, brilliant, clear; hot"
U+70B3,炳,bǐng,26,23,,,"bright, luminous; glorious"
U+70B7,炷,zhù,1,1,,,"candle wick, lamp wick; stick of incense"
U+70B8,炸,zhà,451,375,,,to fry in oil; to scald; to explode
U+70B9,点,diǎn,3560,3063,"点,點",点,"dot, speck, spot; point, degree"
U+70BA,為,wèi,5036,3842,,为,"do, handle, govern, act; be"
U+70BC,炼,liàn,120,104,煉,,"smelt, refine; distill, condense"
U+70BD,炽,chì,8,8,熾,,"burning-hot, intense; to burn, blaze; splendid, illustrious"
U+70C1,烁,shuò,9,9,爍,,"shine, glitter, sparkle"
U+70C2,烂,làn,113,104,爛,,"rotten, spoiled, decayed"
U+70C8,烈,liè,964,918,,,"fiery, violent, vehement, ardent"
U+70CA,烊,yáng,7,7,,,to smelt; to melt
U+70CF,烏,wū,529,264,,乌,"crow, rook, raven; black, dark"
U+70D8,烘,hōng,21,17,,,"bake, roast; dry by fire"
U+70D9,烙,lào,19,19,,,"brand, burn; branding iron"
U+70DB,烛,zhú,9,9,"烛,燭",烛,"candle, taper; shine, illuminate"
U+70DC,烜,xuǎn,1,1,,,light of the sun; to dry in the sun
U+70DD,烝,zhēng,1,1,,,"rise, steam; many, numerous"
U+70DF,烟,yān,343,256,"烟,煙",烟,"smoke, soot; opium; tobacco, cigarettes"
U+70E4,烤,kǎo,181,130,,,"bake, roast, toast, cook"
U+70E6,烦,fán,106,101,煩,,"bother, vex, trouble; troublesome"
U+70E7,烧,shāo,358,294,燒,,burn; bake; heat; roast
U+70E8,烨,yè,1,1,燁,,"bright, glorious, splendid, flame"
U+70E9,烩,huì,7,7,"烩,燴",烩,"ragout, cook, braise"
U+70EB,烫,tàng,45,38,燙,,"scald, heat; wash; iron clothes"
U+70EC,烬,jìn,1,1,"烬,燼",烬,"cinders, ashes, embers; remnants"
U+70ED,热,rè,2011,1768,"热,熱",热,hot; heat; fever; restless; zeal
U+70EF,烯,xī,31,17,,,alkene
U+70F4,烴,tīng,1,1,,烃,hydrocarbon
U+70F7,烷,wán,37,25,,,alkane
U+70F9,烹,pēng,57,47,,,"boil, cook; quick fry, stir fry"
U+70FD,烽,fēng,9,9,,,signal fire; signal tower
U+7109,焉,yān,4,4,,,"thereupon, then; how? why? where?"
U+710A,焊,hàn,21,15,,,"weld, solder"
U+7110,焐,wù,2,2,,,to warm something cold by touching it with something hot
U+7115,焕,huàn,32,31,煥,,shining
U+7116,焖,mèn,18,15,燜,,"simmer, cook over slow fire"
U+7117,焗,jú,6,4,,,"(Cant.) to roast, bake; to suffocate, stuffy"
U+7119,焙,bèi,11,8,,,dry over slow fire; bake; roast
U+711A,焚,fén,27,26,,,burn
U+7121,無,wú,751,616,,无,"negative, no, not; lack, have no"
U+7126,焦,jiāo,451,426,,,"burned, scorched; anxious, vexed"
U+712F,焯,chāo,10,9,,,boil vegetables for a very short time; scald
U+7130,焰,yàn,56,43,,,"flame, blaze; glowing, blazing"
U+7131,焱,yàn,1,1,,,flames
U+7136,然,rán,4115,3678,,,"yes, certainly; pledge, promise"
U+7147,煇,huī,3,3,,𪸩,"weld, solder"
U+7149,煉,liàn,37,31,,炼,"smelt, refine; distill, condense"
U+714C,煌,huáng,106,82,,,"bright, shining, luminous"
U+714E,煎,jiān,74,56,,,fry in fat or oil; boil in water
U+7159,煙,yān,126,96,,烟,"smoke, soot; opium; tobacco, cigarettes"
U+715C,煜,yù,44,31,,,"bright, shining, brilliant"
U+715E,煞,shā,20,19,,,"malignant deity; baleful, noxious; strike dead"
U+7160,煠,zhá,4,1,,,to fry in fat or oil. to scald
U+7164,煤,méi,209,136,,,"coal, coke, charcoal, carbon"
U+7165,煥,huàn,34,32,,焕,"shining, brilliant, lustrous"
U+7166,煦,xù,7,7,,,"kind, gentle, gracious, genial"
U+7167,照,zhào,1033,915,,,"shine, illumine, reflect"
U+7168,煨,wēi,2,2,,,"to stew, simmer"
U+7169,煩,fán,10,10,,烦,"bother, vex, trouble; troublesome"
U+716E,煮,zhǔ,119,100,,,cook
U+7172,煲,bāo,24,20,,,to heat; to boil a saucepan
U+7178,煸,biān,2,2,,,to stir-fry before broiling or stewing
U+717D,煽,shān,38,38,,,"stir up, incite, agitate, provoke"
U+7184,熄,xī,11,10,,,"put out, extinguish, quash"
U+718A,熊,xióng,770,390,,,a bear; brilliant; bright; surname
U+718F,熏,xūn,9,7,,,"smoke, fog, vapor; smoke, cure"
U+7192,熒,yíng,1,1,,荧,"shine, shimmer; shining, dazzling"
U+7194,熔,róng,52,45,,,"melt, smelt, fuse; mold"
U+7198,熘,liū,1,1,,,to steam
U+7199,熙,xī,35,26,,,"bright, splendid, glorious"
U+719F,熟,shú,340,312,,,well-cooked; ripe; familiar with
U+71A0,熠,yì,31,15,,,bright and sparkling
U+71A8,熨,yùn,3,3,,,"iron, press"
U+71AC,熬,áo,51,49,,,"cook down, to boil; endure"
U+71B1,熱,rè,571,498,,热,hot; heat; fever; restless; zeal
U+71B5,熵,shāng,1,1,,,entropy
U+71B9,熹,xī,4,3,,,"dim light, glimmer; warm, bright"
U+71BE,熾,chì,4,4,,炽,"burning-hot, intense; to burn, blaze; splendid, illustrious"
U+71C1,燁,yè,3,3,,烨,"bright, glorious, splendid, flame"
U+71C3,燃,rán,772,600,,,"burn; light fire, ignite"
U+71C8,燈,dēng,235,129,,灯,"lantern, lamp"
U+71C9,燉,dùn,16,5,,,heat with fire; stew
U+71CA,燊,shēn,1,1,,,luxuriant
U+71D2,燒,shāo,52,48,,烧,burn; bake; heat; roast
U+71D5,燕,yàn,133,94,,,"swallow (bird); comfort, enjoy"
U+71D9,燙,tàng,9,7,,烫,"scald, heat; wash; iron clothes"
U+71DA,燚,yì,1,1,,,used in people's names
U+71DC,燜,mèn,1,1,,焖,"simmer, cook over slow fire"
U+71DF,營,yíng,616,456,,营,"encampment, barracks; manage"
U+71E5,燥,zào,47,45,,,"dry, parched, arid; quick-tempered"
U+71E6,燦,càn,37,24,,灿,"vivid, illuminating; bright"
U+71E7,燧,suì,3,3,,,"flintstone; beacon, signal fire; torch"
U+71ED,燭,zhú,6,5,,烛,"candle, taper; to shine, illuminate"
U+71EE,燮,xiè,8,8,,,"harmonize, blend; adjust"
U+71FB,燻,xūn,1,1,,,"smoke, fog, vapor; smoke, cure"
U+71FF,燿,yào,2,1,,,"shine, dazzle; brilliant, radiant"
U+7206,爆,bào,1158,1042,,,"crackle, pop, burst, explode"
U+720D,爍,shuò,8,4,,烁,"shine, glitter, sparkle"
U+7210,爐,lú,42,34,,炉,"fireplace, stove, oven, furnace"
U+721B,爛,làn,40,36,,烂,"rotten, spoiled, decayed"
U+722A,爪,zhǎo,40,34,,,"claw, nail, talon; animal feet"
U+722C,爬,pá,118,97,,,"crawl, creep; climb; scramble"
U+722D,爭,zhēng,600,478,,争,"to dispute, fight, contend, strive"
U+7230,爰,yuán,5,1,,,"lead on to; therefore, then"
U+7231,爱,ài,1026,871,愛,,"love, be fond of, like"
U+7232,爲,wèi,10,9,,为,"do, handle, govern, act; be"
U+7235,爵,jué,11,9,,,feudal title or rank
U+7236,父,fù,363,304,,,father; Kangxi radical 88
U+7237,爷,yé,97,51,爺,,"father, grandfather"
U+7238,爸,bà,192,96,,,"father, papa"
U+7239,爹,diē,17,11,,,"father, daddy"
U+723A,爺,yé,83,43,,爷,"father, grandfather"
U+723B,爻,yáo,2,1,,,diagrams for divination
U+723D,爽,shuǎng,140,123,,,"happy, cheerful; refreshing"
U+723E,爾,ěr,958,645,,尔,"you; that, those; final particle"
U+7241,牁,kē,5,1,,,"mooring stake; painter, mooring"
U+7242,牂,zāng,5,1,,,"female sheep, ewe"
U+7246,牆,qiáng,51,45,,墙,wall
U+7247,片,piàn,3672,2756,,,"slice, splinter, strip; rad. 91"
U+7248,版,bǎn,1022,859,,,printing blocks; edition
U+724C,牌,pái,1607,1256,,,"signboard, placard"
U+724D,牍,dú,3,3,牘,,"writing tablet; documents, books"
U+7252,牒,dié,9,9,,,"documents, records; dispatch"
U+7258,牘,dú,3,2,,牍,"writing tablet; documents, books"
U+7259,牙,yá,541,406,,,"tooth, molars, teeth; serrated"
U+725B,牛,niú,764,514,,,"cow, ox, bull; Kangxi radical 93; 9th lunar mansion, determinative star β Capricorni (Dabih)"
U+725F,牟,móu,14,14,,,"make; seek, get; barley; low"
U+7260,牠,tā,12,10,,,it; polled cattle
U+7261,牡,mǔ,40,22,,,male of animals; bolt of door
U+7262,牢,láo,86,76,,,"prison; stable, pen; secure"
U+7266,牦,máo,6,5,氂,,tail; hair; yak
U+7267,牧,mù,155,109,,,"tend cattle, shepherd"
U+7269,物,wù,5045,3661,,,"thing, substance, creature"
U+726F,牯,gǔ,5,3,,,cow; bull; ox
U+7272,牲,shēng,66,58,,,sacrificial animal; animal
U+7275,牵,qiān,130,126,牽,,"drag, pull, lead by hand"
U+7279,特,tè,8519,6343,,,"special, unique, distinguished"
U+727A,牺,xī,31,30,犧,,"sacrifice, give up; sacrificial"
U+727D,牽,qiān,55,50,,牵,"drag, pull, lead by hand"
U+7280,犀,xī,48,33,,,"rhinoceros; sharp, well-tempered"
U+7281,犁,lí,34,32,,,plow
U+728A,犊,dú,3,2,犢,,calf; victim of sacrifice
U+728D,犍,jiān,1,1,,,a bullock; a fabulous monster
U+7292,犒,kào,2,2,,,entertain victorious soldiers
U+729B,犛,máo,6,3,,,"a black ox, a yak"
U+729F,犟,jiàng,2,2,,,stubborn
U+72A2,犢,dú,1,1,,犊,calf; victim of sacrifice
U+72A7,犧,xī,19,17,,牺,"sacrifice, give up; sacrificial"
U+72AC,犬,quǎn,55,36,,,dog; radical number 94
U+72AD,犭,quǎn,1,1,,,dog; radical number 94
U+72AF,犯,fàn,528,448,,,"commit crime, violate; criminal"
U+72B6,状,zhuàng,955,887,狀,,form; appearance; shape; official
U+72B8,犸,mǎ,3,3,獁,,mammoth
U+72B9,犹,yóu,122,109,"犹,猶",犹,"like, similar to, just like, as"
U+72C0,狀,zhuàng,181,158,,状,form; appearance; shape; official
U+72C2,狂,kuáng,315,297,,,"insane, mad; violent; wild"
U+72C4,狄,dí,10,9,,,tribe from northern China; surname
U+72C8,狈,bèi,3,3,狽,,a legendary animal with short forelegs which rode a wolf
U+72CD,狍,páo,5,4,,,species of deer found in north China
U+72D0,狐,hú,23,15,,,fox
U+72D7,狗,gǒu,233,132,,,"dog, Canis familiaris"
U+72D9,狙,jū,5,5,,,"an ape, monkey; to spy, watch for; to lie"
U+72DE,狞,níng,2,2,獰,,ferocious appearance; hideous
U+72E0,狠,hěn,44,35,,,"vicious, cruel; severely, extreme"
U+72E1,狡,jiǎo,1,1,,,"cunning, deceitful, treacherous"
U+72E9,狩,shòu,10,7,,,winter hunting; imperial tour
U+72EC,独,dú,1241,1131,"独,獨",独,"alone, single, solitary, only"
U+72ED,狭,xiá,32,32,狹,,"narrow, limited; narrow-minded"
U+72EE,狮,shī,150,109,獅,,lion
U+72F0,狰,zhēng,2,2,猙,,"fierce-looking, ferocious"
U+72F1,狱,yù,86,73,獄,,"prison, jail; case; lawsuit"
U+72F2,狲,sūn,9,4,猻,,monkey
U+72F8,狸,lí,12,7,,,fox
U+72F9,狹,xiá,6,6,,狭,"narrow, limited; narrow-minded; to pinch"
U+72FC,狼,láng,56,45,,,wolf
U+7301,猁,lì,6,4,,,a kind of monkey
U+730E,猎,liè,52,39,獵,,hunt; field sports
U+7315,猕,mí,5,5,"猕,獼",猕,macacus monkey
U+7316,猖,chāng,14,14,,,"mad, wild, reckless, unruly"
U+7317,猗,yī,1,1,,,exclamation of admiration
U+7319,猙,zhēng,1,1,,狰,"fierce-looking, ferocious"
U+731B,猛,měng,280,272,,,"violent, savage, cruel; bold"
U+731C,猜,cāi,148,122,,,"guess, conjecture, suppose; feel"
U+731D,猝,cù,11,11,,,"abruptly, suddenly; abrupt"
U+731E,猞,shē,6,4,,,"a wild cat; 猞猁, a lynx"
U+7322,猢,hú,1,1,,,a kind of monkey found in western China
U+7325,猥,wěi,1,1,,,"vulgar, low, cheap; wanton; obscene"
U+7329,猩,xīng,30,11,,,species of orangutan
U+732A,猪,zhū,210,136,"猪,豬",猪,"pig, hog, wild boar"
U+732B,猫,māo,463,245,"猫,貓",猫,cat
U+732C,猬,wèi,1,1,"猬,蝟",猬,"vulgar; wanton; low; many; varied; a hedgehog, porcupine"
U+732E,献,xiàn,188,175,"献,獻",献,"offer, present; show, display"
U+7334,猴,hóu,228,122,,,"monkey, ape; monkey-like"
U+7336,猶,yóu,51,49,,犹,"like, similar to, just like, as"
U+7337,猷,yóu,2,1,,,"plan, scheme; plan, plot; way"
U+733E,猾,huá,1,1,,,"crafty, cunning, shrewd; deceitful"
U+733F,猿,yuán,11,7,,,ape
U+7344,獄,yù,11,11,,狱,"prison, jail; case; lawsuit"
U+7345,獅,shī,65,44,,狮,lion
U+734E,獎,jiǎng,190,112,,奖,"prize, reward; give award to"
U+7352,獒,áo,1,1,,,"mastiff, large fierce dog"
U+7357,獗,jué,13,13,,,"unruly, wild, violent, lawless"
U+7360,獠,liáo,2,2,,,to hunt at night by torches
U+7368,獨,dú,402,350,,独,"alone, single, solitary, only"
U+736D,獭,tǎ,21,13,獺,,otter
U+7370,獰,níng,1,1,,狞,ferocious appearance; hideous
U+7372,獲,huò,504,429,,获,"obtain, get, receive; seize"
U+7374,獴,měng,2,2,,,mongoose
U+7375,獵,liè,21,15,,猎,hunt; field sports
U+7377,獷,guǎng,2,2,,犷,"fierce, rude, uncivilized"
U+7378,獸,shòu,32,24,,兽,"beast, animal; bestial"
U+737A,獺,tǎ,9,6,,獭,otter
U+737B,獻,xiàn,117,111,,献,"offer, present; show, display"
U+737C,獼,mí,4,2,,猕,macacus monkey
U+737E,獾,huān,6,4,,,the badger
U+7384,玄,xuán,56,41,,,"deep, profound, abstruse; Kangxi radical 95"
U+7387,率,lǜ,3846,2949,,,to lead; ratio; rate; limit
U+7389,玉,yù,389,301,,,"jade, precious stone, gem"
U+738B,王,wáng,1300,1024,,,"king, ruler; royal; surname"
U+7391,玑,jī,1,1,璣,,pearl that is not quite round
U+7395,玕,gān,1,1,,,inferior variety of gem
U+7396,玖,jiǔ,2,2,,,black-colored jade
U+739B,玛,mǎ,240,193,瑪,,agate; cornelian
U+739F,玟,wén,6,3,,,streaks in jade; gem
U+73A5,玥,yuè,4,4,,,mysterious gem; pearl
U+73A9,玩,wán,608,498,,,"play with, joke, enjoy"
U+73AB,玫,méi,92,51,,,rose
U+73AE,玮,wěi,14,12,瑋,,"type of jade; rare, valuable"
U+73AF,环,huán,1210,1085,"环,環",环,jade ring or bracelet; ring
U+73B0,现,xiàn,8762,7567,現,,"appear, manifest, become visible"
U+73B2,玲,líng,38,29,,,tinkling of jade
U+73B7,玷,diàn,1,1,,,flaw in gem; flaw in character
U+73BB,玻,bō,133,100,,,glass
U+73C0,珀,pò,22,19,,,amber
U+73C2,珂,kē,5,5,,,inferior kind of jade
U+73C5,珅,shēn,4,4,,,a kind of jade
U+73C8,珈,jiā,2,2,,,an ornament attached to a woman's hairpin
U+73CA,珊,shān,76,48,,,coral
U+73CD,珍,zhēn,289,251,,,"precious, valuable, rare"
U+73CF,珏,jué,2,2,,,two pieces of jade joined together
U+73D0,珐,fà,1,1,"珐,琺",珐,"enamel, cloisonné"
U+73D1,珑,lóng,1,1,瓏,,a gem cut like dragon
U+73DE,珞,luò,5,5,,,kind of necklace
U+73E0,珠,zhū,393,279,,,"precious stone, gem, jewel, pearl"
U+73ED,班,bān,1452,1052,,,"class, group, grade; squad; job"
U+73EE,珮,pèi,2,2,,,jade ornament
U+73F2,珲,hún,1,1,琿,,"bright, glorious, splendid"
U+73F5,珵,chéng,1,1,,,
U+73FA,珺,jùn,8,6,,,beautiful jade
U+73FE,現,xiàn,2403,2015,,现,"appear, manifest, become visible"
U+7403,球,qiú,7908,5980,,,"ball, sphere, globe; round"
U+7405,琅,láng,19,16,,,a variety of white carnelian; pure
U+7406,理,lǐ,5399,4450,,,"reason, logic; manage"
U+7409,琉,liú,175,69,,,"sparkling stone; glazed, opaque"
U+740A,琊,yá,2,2,,,a place in eastern Shandong
U+7410,琐,suǒ,18,18,瑣,,"trifling, petty; troublesome"
U+7422,琢,zuó,20,20,,,polish jade; cut jade
U+7425,琥,hǔ,6,6,,,jewel in shape of tiger; amber
U+7426,琦,qí,4,4,,,"gem, precious stone, jade"
U+7428,琨,kūn,1,1,,,"beautiful jade, precious stones"
U+742A,琪,qí,29,27,,,type of jade
U+7430,琰,yǎn,2,2,,,"jewel, gem; glitter of gems"
U+7433,琳,lín,50,46,,,"beautiful jade, gem"
U+7434,琴,qín,141,95,,,Chinese lute or guitar
U+7435,琵,pí,24,19,,,guitar-like instrument
U+7436,琶,pá,25,18,,,guitar-like instrument
U+7439,琹,qín,1,1,,,
U+743A,琺,fà,3,2,,珐,"enamel, cloisonné"
U+743C,琼,qióng,136,132,"琼,瓊",琼,"jade; rare, precious; elegant; (Cant.) to coagulate"
U+7444,瑄,xuān,2,2,,,an ornamental piece of jade several inches across with a hole in the center
U+744B,瑋,wěi,4,3,,玮,"type of jade; rare, valuable"
U+7455,瑕,xiá,12,12,,,"flaw in gem; fault, defect"
U+7459,瑙,nǎo,40,30,,𰡻,agate; cornelian
U+745A,瑚,hú,46,29,,,coral; person of virtue
U+745B,瑛,yīng,6,6,,,luster of gem; crystal
U+745C,瑜,yú,43,34,,,flawless gem or jewel
U+745E,瑞,ruì,1128,836,,,felicitous omen; auspicious
U+745F,瑟,sè,94,67,,,"large stringed musical instrument; dignified, massive; sound of wind"
U+7463,瑣,suǒ,1,1,,琐,"fragments; trifling, petty; troublesome"
U+7464,瑤,yáo,15,9,,瑶,precious jade
U+7469,瑩,yíng,32,26,,莹,"lustre of gems; bright, lustrous"
U+746A,瑪,mǎ,76,62,,玛,agate; cornelian
U+746F,瑯,láng,4,3,,,kind of white cornelian
U+7470,瑰,guī,134,91,,,"extraordinary, fabulous; rose"
U+7476,瑶,yáo,18,10,瑤,,precious jade
U+7477,瑷,ài,1,1,璦,,fine quality jade
U+747E,瑾,jǐn,6,6,,,brilliance of gems; fine jade
U+7480,璀,cuǐ,87,77,,,lustre of gems; glitter; shine
U+7483,璃,lí,128,100,,,glass
U+748B,璋,zhāng,1,1,,,jade plaything; jade ornament
U+7490,璐,lù,25,23,,,beautiful variety of jade
U+749C,璜,huáng,2,2,,,a semicircular jade ornament used as a pendant
U+749E,璞,pú,6,4,,,"unpolished gem, uncarved gem"
U+74A3,璣,jī,1,1,,玑,pearl that is not quite round
U+74A7,璧,bì,8,8,,,piece of jade with hole in it
U+74A8,璨,càn,87,77,,,gems; luster of gems; lustrous
U+74B0,環,huán,479,380,,环,jade ring or bracelet; ring
U+74CA,瓊,qióng,31,21,,琼,"jade; rare, precious; elegant"
U+74CF,瓏,lóng,1,1,,珑,a gem cut like dragon
U+74DC,瓜,guā,286,192,,,"melon, gourd, cucumber; Kangxi radical 97"
U+74E2,瓢,piáo,8,8,,,ladle made from dried gourd
U+74E3,瓣,bàn,46,38,,,petal; segment; valves
U+74E6,瓦,wǎ,575,458,,,tile; earthenware pottery; girl
U+74EE,瓮,wèng,6,5,,,earthen jar; jar for ashes
U+74EF,瓯,ōu,4,4,甌,,"bowl, cup; small tray"
U+74F4,瓴,líng,1,1,,,concave channels of tiling a long-necked jar
U+74F6,瓶,píng,170,149,,,"jug, pitcher, vase, jar, bottle"
U+74F7,瓷,cí,166,106,,,"crockery, porcelain, chinaware"
U+7504,甄,zhēn,7,5,,,"to examine, discern; to grade; a surname"
U+750C,甌,ōu,1,1,,瓯,"bowl, cup; small tray"
U+7511,甑,zèng,1,1,,,"boiler for steaming rice, pot"
U+7517,甗,yǎn,1,1,,,earthenware vessel in two parts
U+7518,甘,gān,290,234,,,"sweetness; sweet, tasty"
U+751A,甚,shèn,703,694,,,great extent; considerably
U+751C,甜,tián,265,208,,,"sweet, sweetness"
U+751F,生,shēng,12809,9714,,,"life, living, lifetime; birth"
U+7522,產,chǎn,1365,914,,产,"give birth, bring forth, produce"
U+7523,産,chǎn,1595,918,,产,give birth
U+7525,甥,shēng,1,1,,,"niece, sister's child"
U+7526,甦,sū,67,61,,,"be reborn; resuscitate, revive"
U+7528,用,yòng,10845,8219,,,"use, employ, apply, operate; use"
U+7529,甩,shuǎi,43,41,,,"throw away, discard"
U+752B,甫,fǔ,19,15,,,"begin; man, father; great; a distance of ten li"
U+752C,甬,yǒng,7,5,,,path; river in Ningbo; Ningbo
U+752D,甭,béng,1,1,,,there is no need
U+752F,甯,níng,5,3,,,peaceful
U+7530,田,tián,2579,1538,,,"field, arable land, cultivated"
U+7531,由,yóu,3775,3582,,,"cause, reason; from"
U+7532,甲,jiǎ,407,311,,,"armor, shell; fingernails; 1st heavenly stem"
U+7533,申,shēn,843,725,,,"to state to a superior, report; extend; ninth earthly branch"
U+7535,电,diàn,8063,4800,"电,電",电,electricity; electric; lightning
U+7537,男,nán,1006,818,,,"male, man; son; baron; surname"
U+7538,甸,diàn,305,196,,,suburbs of capital; govern; crops
U+753A,町,tǐng dīng,73,61,,,raised path between fields
U+753B,画,huà,1038,783,"画,畫",画,"a painting, picture, drawing; to draw"
U+7545,畅,chàng,138,133,暢,,"smoothly, freely, unrestrained"
U+7548,畈,fàn,2,2,,,field; farm
U+754C,界,jiè,5238,4366,,,"boundary, limit; domain; society; the world"
U+754F,畏,wèi,26,25,,,"fear, dread, awe, reverence"
U+7551,畑,tián,1,1,,,dry (as opposed to rice) field; used in Japanese names
U+7554,畔,pàn,115,98,,,boundary path dividing fields
U+7559,留,liú,1187,1024,,,"stop, halt; stay, detain, keep"
U+755C,畜,chù,37,27,,,"livestock, domestic animals"
U+755D,畝,mǔ,88,75,,亩,Chinese land measure; fields
U+7562,畢,bì,59,44,,毕,"end, finish, conclude; completed; 19th lunar mansion, determinative star ε Tauri (Ain)"
U+7565,略,lüè,1372,1256,,,"approximately, roughly; outline"
U+756A,番,fān,258,224,,,"to take turns; a turn, a time; to repeat"
U+756B,畫,huà,555,410,,画,"delineate, painting, picture, drawing; draw"
U+756C,畬,shē yú,6,1,,,reclaimed field
U+7570,異,yì,101,88,,异,"different, unusual, strange"
U+7572,畲,shē,2,2,,,to cultivate land by first setting fire to it
U+7574,畴,chóu,9,9,疇,,"farmland, arable land; category"
U+7576,當,dāng,1521,1339,,当,"bear, accept, undertake; just"
U+7578,畸,jī,3,3,,,"odd, fractional, remainder, odds"
U+7579,畹,wǎn,2,1,,,"a unit of area, thirty mou"
U+757F,畿,jī,18,14,,,imperial domain; area near capital
U+7586,疆,jiāng,824,557,,,"boundary, border, frontier"
U+7587,疇,chóu,8,6,,畴,"farmland, arable land; category"
U+758A,疊,dié,95,77,,叠,"repeat, duplicate; repetitious"
U+758B,疋,pǐ,1,1,,,"roll, bolt of cloth; foot"
U+758F,疏,shū,142,133,,,"neglect; careless, lax"
U+7591,疑,yí,837,774,,,"doubt, question, suspect"
U+7597,疗,liáo,704,520,療,,"be healed, cured, recover"
U+7599,疙,gē,5,3,,,"pimple, sore, boil, wart, pustule"
U+759A,疚,jiù,4,4,,,"chronic disease, chronic illness; sorrow"
U+759F,疟,nüè,5,3,瘧,,intermittent fever; malaria
U+75A1,疡,yáng,1,1,瘍,,"ulcers, sores; infection"
U+75A3,疣,yóu,2,2,,,wart; tumor; goiter; papule
U+75A4,疤,bā,4,3,,,"scar, cicatrix; birthmark"
U+75AB,疫,yì,5126,3423,,,"epidemic, plague, pestilence"
U+75AE,疮,chuāng,10,8,瘡,,"tumor, boil, sore, wound"
U+75AF,疯,fēng,106,103,瘋,,"crazy, insane, mentally ill"
U+75B0,疰,zhù,1,1,,,summer-time disease
U+75B1,疱,pào,2,1,"疱,皰",疱,acne
U+75B2,疲,pí,303,294,,,"feel tired, be exhausted; weak"
U+75B4,疴,kē,1,1,"疴,痾",疴,"illness, sickness, disease; pain"
U+75B5,疵,cī,9,9,,,"flaw, fault, defect; disease"
U+75B9,疹,zhěn,10,5,,,measles; rash; fever
U+75BC,疼,téng,47,41,,,"aches, pains; be fond of; love"
U+75BE,疾,jí,321,284,,,"illness, disease, sickness; to hate"
U+75C5,病,bìng,3765,2260,,,"illness, sickness, disease"
U+75C7,症,zhèng,677,481,"症,癥",症,"disease, illness, ailment"
U+75C9,痉,jìng,1,1,痙,,"convulsions, fits"
U+75CA,痊,quán,10,10,,,"be healed, be cured; recover"
U+75CD,痍,yí,5,5,,,"wound, bruise, sore"
U+75D2,痒,yǎng,3,2,"痒,癢",痒,itch
U+75D4,痔,zhì,3,1,,,"hemorrhoids, piles"
U+75D5,痕,hén,66,60,,,scar; mark; trace
U+75D8,痘,dòu,112,65,,,smallpox
U+75DB,痛,tòng,267,232,,,"pain, ache; sorry, sad; bitter"
U+75E0,痠,suān,1,1,,,"aching of limbs, muscular pains"
U+75E4,痤,cuó,1,1,,,a swelling of the lymph nodes
U+75EA,痪,huàn,38,36,瘓,,"paralysis, numbness of limbs"
U+75EB,痫,xián,6,6,癇,,"epilepsy, convulsions"
U+75F0,痰,tán,1,1,,,"phlegm, mucus, spittle"
U+75F4,痴,chī,33,29,,,"foolish, stupid, dumb, silly"
U+75F9,痹,bì,2,2,,,"paralysis, numbness"
U+75FC,痼,gù,1,1,,,chronic disease
U+75FF,痿,wěi,1,1,,,paralysis; impotence
U+7600,瘀,yū,3,3,,,"a hematoma, contusion; extravasated blood"
U+7601,瘁,cuì,2,2,,,"feel tired, be weary, be worn out"
U+760B,瘋,fēng,15,11,,疯,"crazy, insane, mentally ill"
U+760D,瘍,yáng,3,1,,疡,"ulcers, sores; infection"
U+7613,瘓,huàn,5,5,,痪,"paralysis, numbness of limbs"
U+761F,瘟,wēn,22,21,,,"epidemic, plague, pestilence"
U+7620,瘠,jí,3,3,,,"thin, emaciated; barren"
U+7621,瘡,chuāng,5,3,,疮,"tumor, boil, sore, wound"
U+7624,瘤,liú,28,24,,,"tumor, lump, goiter"
U+7626,瘦,shòu,51,42,,,"thin, emaciated, lean; meager"
U+7627,瘧,nüè,2,1,,疟,intermittent fever; malaria
U+7629,瘩,da,5,3,,,pimples
U+762A,瘪,biě,5,5,癟,,"shrivelled up, dried up; vexed"
U+762B,瘫,tān,47,42,癱,,"paralysis, palsy, numbness"
U+763E,瘾,yǐn,37,35,癮,,"rash; addiction, craving, habit"
U+7642,療,liáo,148,91,,疗,"be healed, cured, recover"
U+7647,癇,xián,1,1,,痫,"epilepsy, convulsions"
U+764C,癌,ái,332,162,,,cancer; marmoset
U+7652,癒,yù,40,37,,,"get well, recover"
U+7656,癖,pǐ,1,1,,,"craving, weakness for; indigestion"
U+7661,癡,chī,2,2,,,"silly, foolish, idiotic"
U+7662,癢,yǎng,2,2,,痒,itch
U+766B,癫,diān,8,8,癲,,"crazy, mad; madness, mania, insane"
U+766E,癮,yǐn,4,3,,瘾,"rash; addiction, craving, habit"
U+7671,癱,tān,11,10,,瘫,"paralysis, palsy, numbness"
U+7672,癲,diān,1,1,,癫,"crazy, mad; madness, mania, insanity"
U+7678,癸,guǐ,4,4,,,10th heavenly stem
U+767A,発,fā,1,1,,,"issue, dispatch, send out, emit"
U+767B,登,dēng,1477,1241,,,"rise, mount, board, climb"
U+767C,發,fā,4882,3267,,发,"issue, dispatch, send out, emit"
U+767D,白,bái,1994,1571,,,"white; pure, unblemished; bright"
U+767E,百,bǎi,1758,1525,,,"one hundred; numerous, many"
U+7682,皂,zào,3,3,,,soap; black; menial servant
U+7684,的,de,122196,50167,,,"possessive, adjectival suffix"
