Codepoint,Hanzi,pinyin,Frequency,Tweets,Traditional Variant,Simplified Variant,Definition
U+5323,匣,xiá,7,7,,,"small box, case, coffer"
U+532A,匪,fěi,22,19,,,"bandits, robbers, gangsters"
U+532E,匮,kuì,10,10,匱,,to lack
U+532F,匯,huì,364,250,,汇,"a concourse; to flow together, gather together; (same as 滙) to remit money"
U+5331,匱,guì,3,3,,匮,to lack
U+5339,匹,pǐ,110,97,,,bolt of cloth; counter for horses
U+533A,区,qū,3789,3179,"区,區",区,"area, district, region, ward"
U+533B,医,yī,1070,783,"医,醫",医,"cure, heal; doctor, medical"
U+533E,匾,biǎn,3,3,,,"flat, round split-bamboo contain"
U+533F,匿,nì,31,30,,,hide; go into hiding
U+5340,區,qū,1830,1333,,区,"area, district, region, ward; surname"
U+5341,十,shí,2899,2431,,,"ten, tenth; complete; perfect"
U+5343,千,qiān,1494,1268,"千,韆",千,"thousand; many, numerous; very; (Cant.) a cheater, swindler"
U+5347,升,shēng,4007,3551,,,"arise, go up; hoist; advance; hexagram ䷭"
U+5348,午,wǔ,1306,1126,,,seventh earthly branch
U+5349,卉,huì,20,15,,,general term for plants; myriads
U+534A,半,bàn,4573,3223,,,half
U+534E,华,huá,3921,3133,華,,flowery; illustrious; Chinese
U+534F,协,xié,1709,1476,協,,be united; cooperate
U+5351,卑,bēi,28,24,,,"humble, low, inferior; despise"
U+5352,卒,zú,2,2,,,"soldier; servant; at last, finally"
U+5353,卓,zhuó,102,86,,,"profound, brilliant, lofty"
U+5354,協,xié,485,393,,协,be united; cooperate
U+5355,单,dān,2128,1813,"单,單",单,"single, individual, only; lone"
U+5356,卖,mài,785,662,賣,,sell; betray; show off
U+5357,南,nán,8033,6401,,,south; southern part; southward
U+535A,博,bó,1844,1392,,,"gamble, play games; wide, broad"
U+535C,卜,bo bǔ,77,62,"卜,蔔",卜,fortune telling; prophesy
U+535E,卞,biàn,1,1,,,"to be impatient, in a hurry; excitable"
U+5360,占,zhàn,1049,934,,,divine; observe; versify
U+5361,卡,kǎ,1884,1467,,,"card, punch card; calorie"
U+5362,卢,lú,238,186,盧,,"cottage, hut; surname; black"
U+5363,卣,yǒu,2,2,,,wine pot
U+5364,卤,lǔ,35,22,"滷,鹵",,salt
U+5366,卦,guà,4,2,,,fortune telling; tell fortunes
U+5367,卧,wò,38,37,,,lie down; crouch
U+5369,卩,jié,1,1,,,seal; Kangxi radical 26
U+536B,卫,wèi,1256,1005,衛,,"guard, protect, defend"
U+536F,卯,mǎo,14,12,,,fourth earthly branch
U+5370,印,yìn,2690,1692,,,"print, seal, stamp, chop, mark"
U+5371,危,wēi,1232,1105,,,"dangerous, precarious; high; 12th lunar mansion, determinative star α Aquarii (Sadalmelik)"
U+5373,即,jí,1900,1841,,,"promptly, quickly, immediately"
U+5374,却,què,988,964,"却,卻",却,"still, but; decline; retreat"
U+5375,卵,luǎn,29,21,,,egg; ovum; roe; spawn
U+5377,卷,juǎn,673,603,"卷,捲",卷,scroll; curl; make a comeback
U+5378,卸,xiè,131,116,,,lay down; retire from office
U+537A,卺,jǐn,1,1,,,(nuptial) winecups
U+537B,卻,què,167,157,,却,"still, but; decline; retreat"
U+537F,卿,qīng,94,85,,,"noble, high officer"
U+5382,厂,chǎng,1964,1431,"厂,廠",厂,"factory, workshop; radical 27"
U+5384,厄,è,46,42,,,"adversity, difficulty, distress"
U+5385,厅,tīng,369,323,廳,,"hall, central room"
U+5386,历,lì,2080,1907,"历,曆,歷",历,history; calendar
U+5389,厉,lì,120,118,"厉,厲",厉,"whetstone; grind, sharpen; whet"
U+538B,压,yā,1337,1230,"压,壓",压,press; oppress; crush; pressure
U+538C,厌,yàn,38,33,厭,,"dislike, detest, reject; satiate"
U+5395,厕,cè,37,28,"厠,廁",,"mingle with; toilet, lavatory"
U+5398,厘,lí,131,105,"厘,釐",厘,"manage, control; thousandth part of tael"
U+539A,厚,hòu,393,368,,,thick; substantial; greatly
U+539D,厝,cuò,14,10,,,cut or engrave; a grave or tombstone
U+539F,原,yuán,3978,3394,,,"source, origin, beginning"
U+53A0,厠,cè,1,1,,厕,"mingle with; toilet, lavatory"
U+53A2,厢,xiāng,50,43,廂,,"side-room, wing; theatre box"
U+53A5,厥,jué,3,3,,,"personal pronoun he, she, it"
U+53A6,厦,shà,203,152,"厦,廈",厦,"big building, mansion"
U+53A8,厨,chú,128,101,"厨,廚",厨,kitchen; closet; cupboard
U+53A9,厩,jiù,1,1,"厩,廄",厩,stable; barnyard
U+53AD,厭,yàn,6,5,,厌,"dislike, detest, reject; satiate"
U+53AE,厮,sī,5,5,"厮,廝",厮,servant; to make a disturbance
U+53B2,厲,lì,39,36,,厉,"whetstone; grind, sharpen; whet"
U+53BB,去,qù,4019,3660,,,"go away, leave, depart"
U+53BF,县,xiàn,980,802,縣,,"county, district, subdivision"
U+53C1,叁,sān,5,4,叄,,bank form of numeral 'three'
U+53C2,参,cān,1535,1352,"参,參",参,"take part in, intervene; ginseng; 21st lunar mansion, determinative star ζ Orionis (Alnitak)"
U+53C3,參,cān,566,462,,参,"take part in, intervene; ginseng"
U+53C4,叄,cān,2,1,,叁,"take part in, intervene; ginseng"
U+53C8,又,yòu,1621,1499,,,"and, also, again, in addition"
U+53C9,叉,chā,57,48,,,"crotch; fork, prong"
U+53CA,及,jí,5206,4776,,,extend; reach; come up to; and
U+53CB,友,yǒu,2508,2184,,,"friend, companion; fraternity"
U+53CC,双,shuāng,1211,1019,"双,雙",双,"set of two, pair, couple; both"
U+53CD,反,fǎn,3247,2865,,,"reverse, opposite, contrary, anti"
U+53D1,发,fā,13912,11148,"發,髮",,"issue, dispatch, send out; hair"
U+53D2,叒,ruò,6,6,,,obedient; united
U+53D4,叔,shū,60,39,,,father's younger brother
U+53D5,叕,zhuó,3,3,,,to connect
U+53D6,取,qǔ,3282,3021,,,"take, receive, obtain; select"
U+53D7,受,shòu,6072,5571,,,"receive, accept, get; bear, stand"
U+53D8,变,biàn,3115,2650,變,,"change, transform, alter; rebel"
U+53D9,叙,xù,110,86,"叙,敘",叙,"express, state, relate, narrate"
U+53DB,叛,pàn,42,40,,,rebel; rebellion; rebellious
U+53E0,叠,dié,193,162,"叠,疊",叠,pile; be piled up; fold up
U+53E2,叢,cóng,7,7,,丛,"bush, shrub; thicket; collection"
U+53E3,口,kǒu,6413,4403,,,"mouth; open end; entrance, gate"
U+53E4,古,gǔ,2063,1426,,,"old, classic, ancient"
U+53E5,句,jù,241,219,,,sentence
U+53E6,另,lìng,854,843,,,"another, separate, other"
U+53E8,叨,dāo,2,2,,,talkative; quarrelous
U+53E9,叩,kòu,8,6,,,"knock, ask; kowtow, bow"
U+53EA,只,zhǐ,2674,2429,"只,戠,衹,隻",只,"only, just, simply"
U+53EB,叫,jiào,305,283,,,"cry, shout; hail, greet, call"
U+53EC,召,zhào,468,436,,,imperial decree; summon
U+53ED,叭,bā,7,6,,,trumpet
U+53EE,叮,dīng,18,18,,,exhort or enjoin repeatedly
U+53EF,可,kě,10884,9102,,,"may, can, -able; possibly"
U+53F0,台,tái,8768,5198,"台,檯,臺,颱",台,platform; unit; term of address
U+53F1,叱,chì,6,6,,,"scold, shout at, bawl out"
U+53F2,史,shǐ,2517,2261,,,"history, chronicle, annals"
U+53F3,右,yòu,733,687,,,right; west; right-wing
U+53F5,叵,pǒ,2,2,,,"cannot, be unable do, improbable; thereupon"
U+53F6,叶,yè,224,193,"叶,葉",叶,"to harmonize, to rhyme; to unite; (borrowed for) leaf"
U+53F7,号,hào,1472,1183,"号,號",号,"mark, sign; symbol; number"
U+53F8,司,sī,9588,7194,,,"take charge of, control, manage; officer"
U+53F9,叹,tàn,100,99,嘆,,"sigh, admire"
U+53FB,叻,lè,32,18,,,"used in place names; (Cant.) smart, clever"
U+53FC,叼,diāo,8,7,,,hold in mouth
U+53FD,叽,jī,8,4,嘰,,sigh in disapproval; take small
U+5401,吁,xū,469,460,"吁,籲",吁,interjection 'Alas!'; to sigh
U+5403,吃,chī,1320,1019,,,"eat; drink; suffer, endure, bear"
U+5404,各,gè,2834,2569,,,"each, individually, every, all"
U+5406,吆,yāo,9,9,,,"bawl, yell, shout, cry out"
U+5408,合,hé,7547,6164,"合,閤",合,"combine, unite, join; gather"
U+5409,吉,jí,1776,1369,,,"lucky, propitious, good"
U+540A,吊,diào,99,79,,,"condole, mourn, pity; hang"
U+540B,吋,cùn,9,8,,,English inch (寸 can be either an English or Chinese inch)
U+540C,同,tóng,7505,6310,"同,衕",同,"same, similar; together with"
U+540D,名,míng,5864,4887,,,"name, rank, title, position"
U+540E,后,hòu,7875,7077,"后,後",后,"queen, empress, sovereign; (simp. for 後) behind, rear, after"
U+540F,吏,lì,5,3,,,"government official, magistrate"
